"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Aldaco R.; Hoehn D.; Laso J.; Margallo M.; Ruiz-Salmón J.; Cristobal J.; Kahhat R.; Villanueva-Rey P.; Bala A.; Batlle-Bayer L.; Fullana-i-Palmer P.; Irabien A.; Vazquez-Rowe I.","Aldaco, R. (8855450500); Hoehn, D. (57203782887); Laso, J. (55502006900); Margallo, M. (36680290500); Ruiz-Salmón, J. (57192558311); Cristobal, J. (34267476000); Kahhat, R. (17346379100); Villanueva-Rey, P. (54894377200); Bala, A. (24340703100); Batlle-Bayer, L. (35572506300); Fullana-i-Palmer, P. (57219600552); Irabien, A. (7003361364); Vazquez-Rowe, I. (35369240000)","8855450500; 57203782887; 55502006900; 36680290500; 57192558311; 34267476000; 17346379100; 54894377200; 24340703100; 35572506300; 57219600552; 7003361364; 35369240000","Food waste management during the COVID-19 outbreak: a holistic climate, economic and nutritional approach","2020","Science of the Total Environment","742","","140524","","","","224","10.1016/j.scitotenv.2020.140524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087201699&doi=10.1016%2fj.scitotenv.2020.140524&partnerID=40&md5=7fccd89f55c1c67c176da74646d42624","Article","Final","","Scopus","2-s2.0-85087201699"
"Ala-Mantila S.; Ottelin J.; Heinonen J.; Junnila S.","Ala-Mantila, Sanna (55657695800); Ottelin, Juudit (56335553000); Heinonen, Jukka (46961272400); Junnila, Seppo (57213561600)","55657695800; 56335553000; 46961272400; 57213561600","Reprint of: To each their own? The greenhouse gas impacts of intra-household sharing in different urban zones","2017","Journal of Cleaner Production","163","","","S79","S90","11","6","10.1016/j.jclepro.2017.05.138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049185346&doi=10.1016%2fj.jclepro.2017.05.138&partnerID=40&md5=7016661666f6cfde2b1b1be8dc232309","Article","Final","","Scopus","2-s2.0-85049185346"
"Arce G.; Zafrilla J.E.; López L.-A.; Tobarra M.Á.","Arce, Guadalupe (57193236444); Zafrilla, Jorge Enrique (55363057200); López, Luis-Antonio (23100482700); Tobarra, María Ángeles (23101452400)","57193236444; 55363057200; 23100482700; 23101452400","Carbon footprint of human settlements in Spain","2017","Green Energy and Technology","0","9783319549835","","307","324","17","3","10.1007/978-3-319-54984-2_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020096765&doi=10.1007%2f978-3-319-54984-2_14&partnerID=40&md5=f6bac70d2666e039555ee7ddb05070bb","Book chapter","Final","","Scopus","2-s2.0-85020096765"
"Hubacek K.; Baiocchi G.; Feng K.; Muñoz Castillo R.; Sun L.; Xue J.","Hubacek, Klaus (55802235200); Baiocchi, Giovanni (16644723000); Feng, Kuishuang (35169268500); Muñoz Castillo, Raúl (56875393500); Sun, Laixiang (15821588400); Xue, Jinjun (37125627700)","55802235200; 16644723000; 35169268500; 56875393500; 15821588400; 37125627700","Global carbon inequality","2017","Energy, Ecology and Environment","2","6","","361","369","8","213","10.1007/s40974-017-0072-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042845182&doi=10.1007%2fs40974-017-0072-9&partnerID=40&md5=7d90f0e4cb49563799f57cba98bfd640","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85042845182"
"Ambrey C.L.; Daniels P.","Ambrey, Christopher L. (53163151000); Daniels, Peter (7102046662)","53163151000; 7102046662","Happiness and footprints: assessing the relationship between individual well-being and carbon footprints","2017","Environment, Development and Sustainability","19","3","","895","920","25","33","10.1007/s10668-016-9771-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960100731&doi=10.1007%2fs10668-016-9771-1&partnerID=40&md5=88792c3033f75ee1b48ff985c862f334","Article","Final","","Scopus","2-s2.0-84960100731"
"Wei L.; Li C.; Wang J.; Wang X.; Wang Z.; Cui C.; Peng S.; Liu Y.; Yu S.; Wang L.; Shi Z.","Wei, Liyuan (57195760128); Li, Cai (59157847200); Wang, Ju (57216222709); Wang, Xiao (55861655900); Wang, Zhen (55986585100); Cui, Can (57203825029); Peng, Sha (57211512473); Liu, Yong (36063766900); Yu, Shuxia (35319055800); Wang, Ling (54785415900); Shi, Zhihua (37117897600)","57195760128; 59157847200; 57216222709; 55861655900; 55986585100; 57203825029; 57211512473; 36063766900; 35319055800; 54785415900; 37117897600","Rising middle and rich classes drove China's carbon emissions","2020","Resources, Conservation and Recycling","159","","104839","","","","42","10.1016/j.resconrec.2020.104839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082854844&doi=10.1016%2fj.resconrec.2020.104839&partnerID=40&md5=9addb5e23dbbe20286df5e1afeed1993","Article","Final","","Scopus","2-s2.0-85082854844"
"Long Y.; Yoshida Y.; Dong L.","Long, Yin (57195739016); Yoshida, Yoshikuni (7404400212); Dong, Liang (55752935000)","57195739016; 7404400212; 55752935000","Exploring the indirect household carbon emissions by source: Analysis on 49 Japanese cities","2017","Journal of Cleaner Production","167","","","571","581","10","69","10.1016/j.jclepro.2017.08.159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029687694&doi=10.1016%2fj.jclepro.2017.08.159&partnerID=40&md5=1ee046471fe0fce0804211536ddf3955","Article","Final","","Scopus","2-s2.0-85029687694"
"Isaksen E.T.; Narbel P.A.","Isaksen, Elisabeth T. (57190877925); Narbel, Patrick A. (51864105700)","57190877925; 51864105700","A carbon footprint proportional to expenditure - A case for Norway?","2017","Ecological Economics","131","","","152","165","13","44","10.1016/j.ecolecon.2016.08.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985038534&doi=10.1016%2fj.ecolecon.2016.08.027&partnerID=40&md5=3bdd8d3bb36bb268de7a9366b2255f02","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84985038534"
"Wang Y.; Ma Q.; Li Y.; Sun T.; Jin H.; Zhao C.; Milne E.; Easter M.; Paustian K.; Yong H.W.A.; McDonagh J.","Wang, Yaolin (56612474700); Ma, Quanlin (12807746800); Li, Yingke (56612888700); Sun, Tao (56612660200); Jin, Hujia (54079861700); Zhao, Chuanyan (8271732400); Milne, Eleanor (7102110982); Easter, Mark (16174680800); Paustian, Keith (7004418468); Yong, Hoi Wen Au (57211918129); McDonagh, John (58636600600)","56612474700; 12807746800; 56612888700; 56612660200; 54079861700; 8271732400; 7102110982; 16174680800; 7004418468; 57211918129; 58636600600","Energy Consumption, Carbon Emissions and Global Warming Potential of Wolfberry Production in Jingtai Oasis, Gansu Province, China","2019","Environmental Management","64","6","","772","782","10","26","10.1007/s00267-019-01225-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075373966&doi=10.1007%2fs00267-019-01225-z&partnerID=40&md5=a8ac4e2ffb1e60df45ccce2d0deadc64","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85075373966"
"Yao L.; Liu J.; Yuan Y.","Yao, Liang (50761579200); Liu, Jingru (56242905600); Yuan, Ye (58360915400)","50761579200; 56242905600; 58360915400","Growth of carbon footprint of Chinese household consumption during the recent two decades and its future trends","2017","Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae","37","6","","2403","2408","5","11","10.13671/j.hjkxxb.2017.0054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030483833&doi=10.13671%2fj.hjkxxb.2017.0054&partnerID=40&md5=ff06078337eb2572545a98fa2ed859ce","Article","Final","","Scopus","2-s2.0-85030483833"
"Kanemoto K.; Shigetomi Y.; Hoang N.T.; Okuoka K.; Moran D.","Kanemoto, Keiichiro (54881919200); Shigetomi, Yosuke (56028497000); Hoang, Nguyen Tien (57188550727); Okuoka, Keijiro (56656518000); Moran, Daniel (12801754000)","54881919200; 56028497000; 57188550727; 56656518000; 12801754000","Spatial variation in household consumption-based carbon emission inventories for 1200 Japanese cities","2020","Environmental Research Letters","15","11","114053","","","","51","10.1088/1748-9326/abc045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097656358&doi=10.1088%2f1748-9326%2fabc045&partnerID=40&md5=aad11d1ec6b261539afdbf33b5af4784","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85097656358"
"Poom A.; Ahas R.","Poom, Age (56397050400); Ahas, Rein (6602600864)","56397050400; 6602600864","How does the environmental load of Household consumption depend on residential location?","2016","Sustainability (Switzerland)","8","9","799","","","","25","10.3390/su8090799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990986141&doi=10.3390%2fsu8090799&partnerID=40&md5=a638ac14c677d1034db7e9a01699cac3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84990986141"
"Wang J.; Li L.; Li F.; Kharrazi A.; Bai Y.","Wang, Juan (57195514917); Li, Lanlan (55608006000); Li, Fangyi (59801357400); Kharrazi, Ali (55618270300); Bai, Yu (55568253200)","57195514917; 55608006000; 59801357400; 55618270300; 55568253200","Regional footprints and interregional interactions of chemical oxygen demand discharges in China","2018","Resources, Conservation and Recycling","132","","","386","397","11","35","10.1016/j.resconrec.2017.08.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028568351&doi=10.1016%2fj.resconrec.2017.08.008&partnerID=40&md5=f02d399481776c5ce88ba8e35e313fb0","Article","Final","","Scopus","2-s2.0-85028568351"
"Feng W.; Cai B.; Zhang B.","Feng, Wang (57190285394); Cai, Beiming (57214090002); Zhang, Bing (57219488478)","57190285394; 57214090002; 57219488478","A Bite of China: Food consumption and carbon emission from 1992 to 2007","2020","China Economic Review","59","","100949","","","","40","10.1016/j.chieco.2016.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737468&doi=10.1016%2fj.chieco.2016.06.007&partnerID=40&md5=7da2cb7de962d25570890b29d8167439","Article","Final","","Scopus","2-s2.0-85048737468"
"Steen-Olsen K.; Wood R.; Hertwich E.G.","Steen-Olsen, Kjartan (55181779600); Wood, Richard (57196060442); Hertwich, Edgar G. (6701785583)","55181779600; 57196060442; 6701785583","The Carbon Footprint of Norwegian Household Consumption 1999–2012","2016","Journal of Industrial Ecology","20","3","","582","592","10","145","10.1111/jiec.12405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977948927&doi=10.1111%2fjiec.12405&partnerID=40&md5=db8d2cdc25b046a0e64fe215a95ac7c1","Article","Final","","Scopus","2-s2.0-84977948927"
"Yin X.; Hao Y.; Yang Z.; Zhang L.; Su M.; Cheng Y.; Zhang P.; Yang J.; Liang S.","Yin, Xuemei (57183482600); Hao, Yan (56222211800); Yang, Zhifeng (7405433398); Zhang, Lixiao (22036875200); Su, Meirong (55859673000); Cheng, Yihan (57215698039); Zhang, Pengpeng (57201132188); Yang, Juhua (57194581127); Liang, Sai (36453970600)","57183482600; 56222211800; 7405433398; 22036875200; 55859673000; 57215698039; 57201132188; 57194581127; 36453970600","Changing carbon footprint of urban household consumption in Beijing: Insight from a nested input-output analysis","2020","Journal of Cleaner Production","258","","120698","","","","39","10.1016/j.jclepro.2020.120698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081678733&doi=10.1016%2fj.jclepro.2020.120698&partnerID=40&md5=a8d4dc9449a3897dbd04ad5e19bcf2d3","Article","Final","","Scopus","2-s2.0-85081678733"
"Shigetomi Y.; Nansai K.; Kagawa S.; Tohno S.","Shigetomi, Yosuke (56028497000); Nansai, Keisuke (55942735500); Kagawa, Shigemi (35773505400); Tohno, Susumu (7005864717)","56028497000; 55942735500; 35773505400; 7005864717","Trends in Japanese households' critical-metals material footprints","2015","Ecological Economics","119","","","118","126","8","33","10.1016/j.ecolecon.2015.08.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940865109&doi=10.1016%2fj.ecolecon.2015.08.010&partnerID=40&md5=35ed2f02468cd4c9e6feaf04814837e0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84940865109"
"Christis M.; Athanassiadis A.; Vercalsteren A.","Christis, Maarten (56798391800); Athanassiadis, Aristide (57190294130); Vercalsteren, An (6504475147)","56798391800; 57190294130; 6504475147","Implementation at a city level of circular economy strategies and climate change mitigation – the case of Brussels","2019","Journal of Cleaner Production","218","","","511","520","9","75","10.1016/j.jclepro.2019.01.180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061624950&doi=10.1016%2fj.jclepro.2019.01.180&partnerID=40&md5=5794fba83e141a9654f1818a4690bc90","Article","Final","","Scopus","2-s2.0-85061624950"
"Fan J.; Guo X.; Marinova D.; Wu Y.; Zhao D.","Fan, Jin (55133716000); Guo, Xiumei (50661439200); Marinova, Dora (6701561637); Wu, Yanrui (55824226100); Zhao, Dingtao (56431710200)","55133716000; 50661439200; 6701561637; 55824226100; 56431710200","Embedded carbon footprint of Chinese urban households: Structure and changes","2012","Journal of Cleaner Production","33","","","50","59","9","80","10.1016/j.jclepro.2012.05.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861821699&doi=10.1016%2fj.jclepro.2012.05.018&partnerID=40&md5=481278daf2be77e708ca7bba64726e0d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84861821699"
"Scherer L.; de Koning A.; Tukker A.","Scherer, Laura (56600122900); de Koning, Arjan (7005690024); Tukker, Arnold (6701524162)","56600122900; 7005690024; 6701524162","BRIC and MINT countries' environmental impacts rising despite alleviative consumption patterns","2019","Science of the Total Environment","665","","","52","60","8","24","10.1016/j.scitotenv.2019.02.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061384441&doi=10.1016%2fj.scitotenv.2019.02.103&partnerID=40&md5=48770690ffa503005c54dcbcc176252f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85061384441"
"López L.A.; Arce G.; Serrano M.","López, Luis Antonio (23100482700); Arce, Guadalupe (57193236444); Serrano, Mònica (16317634900)","23100482700; 57193236444; 16317634900","Extreme Inequality and Carbon Footprint of Spanish Households","2020","Environmental Footprints and Eco-Design of Products and Processes","","","","35","53","18","6","10.1007/978-981-13-7916-1_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075879925&doi=10.1007%2f978-981-13-7916-1_2&partnerID=40&md5=ad3b5dbb801573308e295af0cbedff5f","Book chapter","Final","","Scopus","2-s2.0-85075879925"
"Chen G.; Hadjikakou M.; Wiedmann T.; Shi L.","Chen, Guangwu (56898280400); Hadjikakou, Michalis (37665015300); Wiedmann, Thomas (11940678500); Shi, Lei (57214748499)","56898280400; 37665015300; 11940678500; 57214748499","Global warming impact of suburbanization: The case of Sydney","2018","Journal of Cleaner Production","172","","","287","301","14","49","10.1016/j.jclepro.2017.10.161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038846044&doi=10.1016%2fj.jclepro.2017.10.161&partnerID=40&md5=f9dc1633a817ac1d10a8574a440fc331","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85038846044"
"Owen A.; Barrett J.","Owen, Anne (7202052797); Barrett, John (7403498603)","7202052797; 7403498603","Reducing inequality resulting from UK low-carbon policy","2020","Climate Policy","20","10","","1193","1208","15","61","10.1080/14693062.2020.1773754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086830623&doi=10.1080%2f14693062.2020.1773754&partnerID=40&md5=229622a0cf61704cf82aa44aca0a428f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086830623"
"Kalaniemi S.; Ottelin J.; Heinonen J.; Junnila S.","Kalaniemi, Salla (57219028480); Ottelin, Juudit (56335553000); Heinonen, Jukka (46961272400); Junnila, Seppo (57213561600)","57219028480; 56335553000; 46961272400; 57213561600","Downscaling consumption to universal basic income level falls short of sustainable carbon footprint in Finland","2020","Environmental Science and Policy","114","","","377","383","6","13","10.1016/j.envsci.2020.09.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091063831&doi=10.1016%2fj.envsci.2020.09.006&partnerID=40&md5=f0f7e3910f88e8051d9f9410a01687e4","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85091063831"
"Cadarso M.-Á.; Gómez N.; López L.-A.; Tobarra M.-Á.; Zafrilla J.-E.","Cadarso, María-Ángeles (14044623200); Gómez, Nuria (23099639400); López, Luis-Antonio (23100482700); Tobarra, María-Ángeles (23101452400); Zafrilla, Jorge-Enrique (55363057200)","14044623200; 23099639400; 23100482700; 23101452400; 55363057200","Quantifying Spanish tourism's carbon footprint: the contributions of residents and visitors: a longitudinal study","2015","Journal of Sustainable Tourism","23","6","","922","946","24","78","10.1080/09669582.2015.1008497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928826964&doi=10.1080%2f09669582.2015.1008497&partnerID=40&md5=f91598db378307f79238da6be81a5747","Article","Final","","Scopus","2-s2.0-84928826964"
"Tian J.; Lumbreras J.; Andrade C.; Liao H.","Tian, Jing (56599515600); Lumbreras, Julio (23983113900); Andrade, Celio (7201722099); Liao, Hua (55222159400)","56599515600; 23983113900; 7201722099; 55222159400","Key sectors in carbon footprint responsibility at the city level: a case study of Beijing","2017","International Journal of Climate Change Strategies and Management","9","6","","749","776","27","7","10.1108/IJCCSM-01-2017-0009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030320517&doi=10.1108%2fIJCCSM-01-2017-0009&partnerID=40&md5=17aa7f414a8fbc0a4c18f18f3e97dcdf","Article","Final","","Scopus","2-s2.0-85030320517"
"Fremstad A.; Paul M.","Fremstad, Anders (36997768000); Paul, Mark (57193954796)","36997768000; 57193954796","The Impact of a Carbon Tax on Inequality","2019","Ecological Economics","163","","","88","97","9","130","10.1016/j.ecolecon.2019.04.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067989651&doi=10.1016%2fj.ecolecon.2019.04.016&partnerID=40&md5=2fff82e146893f4ddaa18cfcd501964c","Article","Final","","Scopus","2-s2.0-85067989651"
"Long Y.; Yoshida Y.; Fang K.; Zhang H.; Dhondt M.","Long, Yin (57195739016); Yoshida, Yoshikuni (7404400212); Fang, Kai (55320348500); Zhang, Haoran (57204578013); Dhondt, Maya (57204895207)","57195739016; 7404400212; 55320348500; 57204578013; 57204895207","City-level household carbon footprint from purchaser point of view by a modified input-output model","2019","Applied Energy","236","","","379","387","8","58","10.1016/j.apenergy.2018.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057727017&doi=10.1016%2fj.apenergy.2018.12.002&partnerID=40&md5=9852086927517861a9548ba92ff23306","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85057727017"
"Shigetomi Y.; Nansai K.; Kagawa S.; Tohno S.","Shigetomi, Yosuke (56028497000); Nansai, Keisuke (55942735500); Kagawa, Shigemi (35773505400); Tohno, Susumu (7005864717)","56028497000; 55942735500; 35773505400; 7005864717","Influence of income difference on carbon and material footprints for critical metals: the case of Japanese households","2016","Journal of Economic Structures","5","1","1","","","","15","10.1186/s40008-015-0033-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013749752&doi=10.1186%2fs40008-015-0033-4&partnerID=40&md5=a936cdf33a24277566aec8c1e17df705","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85013749752"
"Ivanova D.; Wood R.","Ivanova, Diana (57021242100); Wood, Richard (57196060442)","57021242100; 57196060442","The unequal distribution of household carbon footprints in Europe and its link to sustainability","2020","Global Sustainability","3","","e18","","","","152","10.1017/sus.2020.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083627985&doi=10.1017%2fsus.2020.12&partnerID=40&md5=f790ccc289edba6a21f150adbac313d4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85083627985"
"Muñoz P.; Zwick S.; Mirzabaev A.","Muñoz, Pablo (35362632900); Zwick, Sabrina (57216362592); Mirzabaev, Alisher (57221772387)","35362632900; 57216362592; 57221772387","The impact of urbanization on Austria's carbon footprint","2020","Journal of Cleaner Production","263","","121326","","","","75","10.1016/j.jclepro.2020.121326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083327700&doi=10.1016%2fj.jclepro.2020.121326&partnerID=40&md5=e827704f7d2407f2fc63cc7a668e2c81","Article","Final","","Scopus","2-s2.0-85083327700"
"Sommer M.; Kratena K.","Sommer, Mark (57131327600); Kratena, Kurt (6602903121)","57131327600; 6602903121","The Carbon Footprint of European Households and Income Distribution","2017","Ecological Economics","136","","","62","72","10","83","10.1016/j.ecolecon.2016.12.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013040872&doi=10.1016%2fj.ecolecon.2016.12.008&partnerID=40&md5=5448011e423042698040c18c767e1609","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85013040872"
"Cao Q.; Kang W.; Xu S.; Sajid M.J.; Cao M.","Cao, Qingren (57200503777); Kang, Wei (57204976427); Xu, Shichun (25925628900); Sajid, M.Jawad (57208781512); Cao, Ming (36774348400)","57200503777; 57204976427; 25925628900; 57208781512; 36774348400","Estimation and decomposition analysis of carbon emissions from the entire production cycle for Chinese household consumption","2019","Journal of Environmental Management","247","","","525","537","12","101","10.1016/j.jenvman.2019.06.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067845256&doi=10.1016%2fj.jenvman.2019.06.044&partnerID=40&md5=71c46c7b22e7a438ad238e08b9a2bed3","Article","Final","","Scopus","2-s2.0-85067845256"
"Chapman A.; Shigetomi Y.","Chapman, Andrew (56896748300); Shigetomi, Yosuke (56028497000)","56896748300; 56028497000","Visualizing the shape of society: An analysis of public bads and burden allocation due to household consumption using an input-output approach","2018","Science of the Total Environment","639","","","385","396","11","17","10.1016/j.scitotenv.2018.05.151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047253983&doi=10.1016%2fj.scitotenv.2018.05.151&partnerID=40&md5=d692937956600b5e0cbbed8404286de6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85047253983"
"Long Y.; Yoshida Y.; Zhang R.; Sun L.; Dou Y.","Long, Yin (57195739016); Yoshida, Yoshikuni (7404400212); Zhang, Runsen (55418451800); Sun, Lu (56547694100); Dou, Yi (56879814700)","57195739016; 7404400212; 55418451800; 56547694100; 56879814700","Policy implications from (revealing consumption-based carbon footprint) of major economic sectors in Japan","2018","Energy Policy","119","","","339","348","9","41","10.1016/j.enpol.2018.04.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046656284&doi=10.1016%2fj.enpol.2018.04.052&partnerID=40&md5=b3d30795a0cae2e4c24c221380f11c92","Article","Final","","Scopus","2-s2.0-85046656284"
"Angelakoglou K.; Aktsoglou D.; Gaidajis G.; Margiolaki I.; Tzomaka V.","Angelakoglou, Komninos (35309450100); Aktsoglou, Despoina (55014238800); Gaidajis, Georgios (6506642262); Margiolaki, Ioanna (57008895500); Tzomaka, Vasiliki (57009098600)","35309450100; 55014238800; 6506642262; 57008895500; 57009098600","A preliminary assessment of the carbon footprint of households in Greece","2015","International Journal of Sustainable Society","7","4","","322","332","10","0","10.1504/IJSSOC.2015.073554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950312193&doi=10.1504%2fIJSSOC.2015.073554&partnerID=40&md5=a808b2b4115d6a80a0dca1611ec4b3f4","Article","Final","","Scopus","2-s2.0-84950312193"
"Brizga J.; Feng K.; Hubacek K.","Brizga, Janis (54408170300); Feng, Kuishuang (35169268500); Hubacek, Klaus (55802235200)","54408170300; 35169268500; 55802235200","Household carbon footprints in the Baltic States: A global multi-regional input–output analysis from 1995 to 2011","2017","Applied Energy","189","","","780","788","8","123","10.1016/j.apenergy.2016.01.102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958206084&doi=10.1016%2fj.apenergy.2016.01.102&partnerID=40&md5=305aaf1ccdef0a846dcd0d33fc9113e3","Article","Final","","Scopus","2-s2.0-84958206084"
"Wang Q.; Ge S.","Wang, Qiang (56953841500); Ge, Shuting (57210946340)","56953841500; 57210946340","Uncovering the effects of external demand on China's coal consumption: A global input–output analysis","2020","Journal of Cleaner Production","245","","118877","","","","48","10.1016/j.jclepro.2019.118877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074404020&doi=10.1016%2fj.jclepro.2019.118877&partnerID=40&md5=72a6041903aa8ed7da8c068eb4a9da92","Article","Final","","Scopus","2-s2.0-85074404020"
"Ivanova D.; Barrett J.; Wiedenhofer D.; Macura B.; Callaghan M.; Creutzig F.","Ivanova, Diana (57021242100); Barrett, John (7403498603); Wiedenhofer, Dominik (55845579800); Macura, Biljana (53871480000); Callaghan, Max (57188621941); Creutzig, Felix (23995215600)","57021242100; 7403498603; 55845579800; 53871480000; 57188621941; 23995215600","Quantifying the potential for climate change mitigation of consumption options","2020","Environmental Research Letters","15","9","093001","","","","386","10.1088/1748-9326/ab8589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086723592&doi=10.1088%2f1748-9326%2fab8589&partnerID=40&md5=0d95aa5271b9d19a23c12d1e23e38e2b","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85086723592"
"Fan J.-L.; Cao Z.; Zhang X.; Wang J.-D.; Zhang M.","Fan, Jing-Li (47960954300); Cao, Zhe (57207139050); Zhang, Xian (55206349200); Wang, Jian-Da (57200133457); Zhang, Mian (57194391560)","47960954300; 57207139050; 55206349200; 57200133457; 57194391560","Comparative study on the influence of final use structure on carbon emissions in the Beijing-Tianjin-Hebei region","2019","Science of the Total Environment","668","","","271","282","11","42","10.1016/j.scitotenv.2019.02.363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062445115&doi=10.1016%2fj.scitotenv.2019.02.363&partnerID=40&md5=8e0f2a848bc7d6edf6886f408fc03030","Article","Final","","Scopus","2-s2.0-85062445115"
"Salvo G.; Simas M.S.; Pacca S.A.; Guilhoto J.J.M.; Tomas A.R.G.; Abramovay R.","Salvo, Gabriele (16067526200); Simas, Moana S. (55660988300); Pacca, Sergio A. (16203758500); Guilhoto, Joaquim J.M. (6507938077); Tomas, Acacio R.G. (7006293511); Abramovay, Ricardo (16416622500)","16067526200; 55660988300; 16203758500; 6507938077; 7006293511; 16416622500","Estimating the human appropriation of land in Brazil by means of an Input-Output Economic Model and Ecological Footprint analysis","2015","Ecological Indicators","53","","","78","94","16","40","10.1016/j.ecolind.2015.01.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922386228&doi=10.1016%2fj.ecolind.2015.01.027&partnerID=40&md5=cd13b544d3236dba845b73bf5b87da2e","Article","Final","","Scopus","2-s2.0-84922386228"
"López L.-A.; Cadarso M.-A.; Gómez N.; Tobarra M.-A.","López, Luis-Antonio (23100482700); Cadarso, María-Angeles (14044623200); Gómez, Nuria (23099639400); Tobarra, María-Ángeles (23101452400)","23100482700; 14044623200; 23099639400; 23101452400","Food miles, carbon footprint and global value chains for Spanish agriculture: Assessing the impact of a carbon border tax","2015","Journal of Cleaner Production","103","","","423","436","13","53","10.1016/j.jclepro.2015.01.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953354605&doi=10.1016%2fj.jclepro.2015.01.039&partnerID=40&md5=a540f393b809f02291bd3fb6c613abe7","Article","Final","","Scopus","2-s2.0-84953354605"
"Pang M.; Meirelles J.; Moreau V.; Binder C.","Pang, Melissa (57224317589); Meirelles, João (57193729207); Moreau, Vincent (56689578900); Binder, Claudia (7102159529)","57224317589; 57193729207; 56689578900; 7102159529","Urban carbon footprints: A consumption-based approach for swiss households","2020","Environmental Research Communications","2","1","011003","","","","18","10.1088/2515-7620/ab59c5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104198862&doi=10.1088%2f2515-7620%2fab59c5&partnerID=40&md5=70e0e0131d7a40da602eca337599dc85","Letter","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104198862"
